Día;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
1;38.419,17;38.381,93;;;;;;;;;;
2;38.421,65;38.379,45;;;;;;;;;;
3;38.424,12;38.376,97;;;;;;;;;;
4;38.426,60;38.374,49;;;;;;;;;;
5;38.429,08;38.372,01;;;;;;;;;;
6;38.431,55;38.369,54;;;;;;;;;;
7;38.434,03;38.367,06;;;;;;;;;;
8;38.436,51;38.364,58;;;;;;;;;;
9;38.438,98;38.362,10;;;;;;;;;;
10;38.436,50;;;;;;;;;;;
11;38.434,02;;;;;;;;;;;
12;38.431,53;;;;;;;;;;;
13;38.429,05;;;;;;;;;;;
14;38.426,57;;;;;;;;;;;
15;38.424,09;;;;;;;;;;;
16;38.421,61;;;;;;;;;;;
17;38.419,13;;;;;;;;;;;
18;38.416,64;;;;;;;;;;;
19;38.414,16;;;;;;;;;;;
20;38.411,68;;;;;;;;;;;
21;38.409,20;;;;;;;;;;;
22;38.406,72;;;;;;;;;;;
23;38.404,24;;;;;;;;;;;
24;38.401,76;;;;;;;;;;;
25;38.399,28;;;;;;;;;;;
26;38.396,80;;;;;;;;;;;
27;38.394,32;;;;;;;;;;;
28;38.391,84;;;;;;;;;;;
29;38.389,36;;;;;;;;;;;
30;38.386,88;;;;;;;;;;;
31;38.384,41;;;;;;;;;;;
